,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
274,[2.8199837],"[-0.242949018020, -5.840020320766]",-191.831033,penalty,-0.437567
275,[2.8554276],"[-0.212020954365, -5.857332986488]",-196.655106,penalty,-0.437567
276,[2.8908716],"[-0.181092890710, -5.874645652211]",-201.479179,penalty,-0.437567
277,[2.9263155],"[-0.150164827055, -5.891958317934]",-206.303252,penalty,-0.437567
278,[2.9617595],"[-0.119236763400, -5.909270983656]",-211.127325,penalty,-0.437567
279,[2.9972034],"[-0.088308699745, -5.926583649379]",-215.951398,penalty,-0.437567
280,[3.0326474],"[-0.057380636090, -5.943896315101]",-220.775471,penalty,-0.437567
281,[3.0680913],"[-0.026452572435, -5.961208980824]",-225.599544,penalty,-0.437567
282,[3.1035353],"[0.004475491220, -5.978521646546]",-230.423617,penalty,-0.437567
283,[3.1389792],"[0.035403554875, -5.995834312269]",-235.247689,penalty,-0.437567
284,[3.1744232],"[0.066331618530, -6.013146977992]",-240.071762,penalty,-0.437567
285,[3.2098671],"[0.097259682185, -6.030459643714]",-244.895835,penalty,-0.437567
286,[3.2453111],"[0.128187745840, -6.047772309437]",-249.719908,penalty,-0.437567
287,[3.2807550],"[0.159115809495, -6.065084975159]",-254.543981,penalty,-0.437567
288,[3.3161990],"[0.190043873150, -6.082397640882]",-259.368054,penalty,-0.437567
289,[3.3516429],"[0.220971936805, -6.099710306605]",-264.192127,penalty,-0.437567
290,[3.3870869],"[0.251900000460, -6.117022972327]",-269.016200,penalty,-0.437567
291,[3.4225308],"[0.282828064115, -6.134335638050]",-273.840273,penalty,-0.437567
292,[3.4579748],"[0.313756127770, -6.151648303772]",-278.664346,penalty,-0.437567
293,[3.4934187],"[0.344684191425, -6.168960969495]",-283.488419,penalty,-0.437567
294,[3.5288627],"[0.375612255080, -6.186273635218]",-288.312492,penalty,-0.437567
295,[3.5643066],"[0.406540318735, -6.203586300940]",-293.136565,penalty,-0.437567
296,[3.5997506],"[0.437468382390, -6.220898966663]",-297.960638,penalty,-0.437567
297,[3.6351945],"[0.468396446045, -6.238211632385]",-302.784711,penalty,-0.437567
298,[3.6706385],"[0.499324509700, -6.255524298108]",-307.608784,penalty,-0.437567
299,[3.7060824],"[0.530252573355, -6.272836963830]",-312.432856,penalty,-0.437567
300,[3.7415264],"[0.561180637010, -6.290149629553]",-317.256929,penalty,-0.437567
301,[3.7769703],"[0.592108700665, -6.307462295276]",-322.081002,penalty,-0.437567
302,[3.8124143],"[0.623036764320, -6.324774960998]",-326.905075,penalty,-0.437567
303,[3.8478582],"[0.653964827975, -6.342087626721]",-331.729148,penalty,-0.437567
304,[3.8833022],"[0.684892891630, -6.359400292443]",-336.553221,penalty,-0.437567
305,[3.9187461],"[0.715820955285, -6.376712958166]",-341.377294,penalty,-0.437567
306,[3.9541901],"[0.746749018940, -6.394025623889]",-346.201367,penalty,-0.437567
307,[3.9896340],"[0.777677082595, -6.411338289611]",-351.025440,penalty,-0.437567
308,[4.0250780],"[0.808605146250, -6.428650955334]",-355.849513,penalty,-0.437567
309,[4.0605219],"[0.839533209905, -6.445963621056]",-360.673586,penalty,-0.437567
310,[4.0959658],"[0.870461273560, -6.463276286779]",-365.497659,penalty,-0.437567
311,[4.1314098],"[0.901389337215, -6.480588952502]",-370.321732,penalty,-0.437567
312,[4.1668537],"[0.932317400870, -6.497901618224]",-375.145805,penalty,-0.437567
313,[4.2022977],"[0.963245464525, -6.515214283947]",-379.969878,penalty,-0.437567
314,[4.2377416],"[0.994173528180, -6.532526949669]",-384.793951,penalty,-0.437567
315,[4.2731856],"[1.025101591835, -6.549839615392]",-389.618023,penalty,-0.437567
316,[4.3086295],"[1.056029655490, -6.567152281115]",-394.442096,penalty,-0.437567
317,[4.3440735],"[1.086957719145, -6.584464946837]",-399.266169,penalty,-0.437567
318,[4.3795174],"[1.117885782800, -6.601777612560]",-404.090242,penalty,-0.437567
319,[4.4149614],"[1.148813846455, -6.619090278282]",-408.914315,penalty,-0.437567
320,[4.4504053],"[1.179741910110, -6.636402944005]",-413.738388,penalty,-0.437567
321,[4.4858493],"[1.210669973765, -6.653715609727]",-418.562461,penalty,-0.437567
322,[4.5212932],"[1.241598037420, -6.671028275450]",-423.386534,penalty,-0.437567
323,[4.5567372],"[1.272526101075, -6.688340941173]",-428.210607,penalty,-0.437567
324,[4.5921811],"[1.303454164730, -6.705653606895]",-433.034680,penalty,-0.437567
325,[4.6276251],"[1.334382228385, -6.722966272618]",-437.858753,penalty,-0.437567
326,[4.6630690],"[1.365310292040, -6.740278938340]",-442.682826,penalty,-0.437567
327,[4.6985130],"[1.396238355695, -6.757591604063]",-447.506899,penalty,-0.437567
328,[4.7339569],"[1.427166419350, -6.774904269786]",-452.330972,penalty,-0.437567
329,[4.7694009],"[1.458094483005, -6.792216935508]",-457.155045,penalty,-0.437567
330,[4.8048448],"[1.489022546660, -6.809529601231]",-461.979118,penalty,-0.437567
331,[4.8402888],"[1.519950610315, -6.826842266953]",-466.803190,penalty,-0.437567
332,[4.8757327],"[1.550878673970, -6.844154932676]",-471.627263,penalty,-0.437567
333,[4.9111767],"[1.581806737625, -6.861467598399]",-476.451336,penalty,-0.437567
334,[4.9466206],"[1.612734801280, -6.878780264121]",-481.275409,penalty,-0.437567
335,[4.9820646],"[1.643662864935, -6.896092929844]",-486.099482,penalty,-0.437567
336,[5.0175085],"[1.674590928590, -6.913405595566]",-490.923555,penalty,-0.437567
337,[5.0529525],"[1.705518992245, -6.930718261289]",-495.747628,penalty,-0.437567
338,[5.0883964],"[1.736447055900, -6.948030927011]",-500.571701,penalty,-0.437567
339,[5.1238404],"[1.767375119555, -6.965343592734]",-505.395774,penalty,-0.437567
340,[5.1592843],"[1.798303183210, -6.982656258457]",-510.219847,penalty,-0.437567
341,[5.1947283],"[1.829231246865, -6.999968924179]",-515.043920,penalty,-0.437567
342,[5.2301722],"[1.860159310520, -7.017281589902]",-519.867993,penalty,-0.437567
343,[5.2656162],"[1.891087374175, -7.034594255624]",-524.692066,penalty,-0.437567
344,[5.3010601],"[1.922015437830, -7.051906921347]",-529.516139,penalty,-0.437567
345,[5.3365041],"[1.952943501485, -7.069219587070]",-534.340212,penalty,-0.437567
346,[5.3719480],"[1.983871565140, -7.086532252792]",-539.164285,penalty,-0.437567
347,[5.4073920],"[2.014799628795, -7.103844918515]",-543.988358,penalty,-0.437567
348,[5.4428359],"[2.045727692450, -7.121157584237]",-548.812430,penalty,-0.437567
349,[5.4782799],"[2.076655756105, -7.138470249960]",-553.636503,penalty,-0.437567
350,[5.5137238],"[2.107583819760, -7.155782915683]",-558.460576,penalty,-0.437567
351,[5.5491678],"[2.138511883415, -7.173095581405]",-563.284649,penalty,-0.437567
352,[5.5846117],"[2.169439947070, -7.190408247128]",-568.108722,penalty,-0.437567
353,[5.6200557],"[2.200368010725, -7.207720912850]",-572.932795,penalty,-0.437567
354,[5.6554996],"[2.231296074380, -7.225033578573]",-577.756868,penalty,-0.437567
355,[5.6909436],"[2.262224138035, -7.242346244295]",-582.580941,penalty,-0.437567
356,[5.7263875],"[2.293152201690, -7.259658910018]",-587.405014,penalty,-0.437567
357,[5.7618314],"[2.324080265345, -7.276971575741]",-592.229087,penalty,-0.437567
358,[5.7972754],"[2.355008329000, -7.294284241463]",-597.053160,penalty,-0.437567
359,[5.8327193],"[2.385936392655, -7.311596907186]",-601.877233,penalty,-0.437567
360,[5.8681633],"[2.416864456310, -7.328909572908]",-606.701306,penalty,-0.437567
361,[5.9036072],"[2.447792519965, -7.346222238631]",-611.525379,penalty,-0.437567
362,[5.9390512],"[2.478720583620, -7.363534904354]",-616.349452,penalty,-0.437567
363,[5.9744951],"[2.509648647275, -7.380847570076]",-621.173525,penalty,-0.437567
364,[6.0099391],"[2.540576710930, -7.398160235799]",-625.997597,penalty,-0.437567
365,[6.0453830],"[2.571504774585, -7.415472901521]",-630.821670,penalty,-0.437567
366,[6.0808270],"[2.602432838240, -7.432785567244]",-635.645743,penalty,-0.437567
367,[6.1162709],"[2.633360901895, -7.450098232967]",-640.469816,penalty,-0.437567
368,[6.1517149],"[2.664288965550, -7.467410898689]",-645.293889,penalty,-0.437567
369,[6.1871588],"[2.695217029205, -7.484723564412]",-650.117962,penalty,-0.437567
370,[6.2226028],"[2.726145092860, -7.502036230134]",-654.942035,penalty,-0.437567
371,[6.2580467],"[2.757073156515, -7.519348895857]",-659.766108,penalty,-0.437567
372,[6.2934907],"[2.788001220170, -7.536661561580]",-664.590181,penalty,-0.437567
373,[6.3289346],"[2.818929283825, -7.553974227302]",-669.414254,penalty,-0.437567
374,[6.3643786],"[2.849857347480, -7.571286893025]",-674.238327,penalty,-0.437567
375,[6.3998225],"[2.880785411135, -7.588599558747]",-679.062400,penalty,-0.437567
376,[6.4352665],"[2.911713474790, -7.605912224470]",-683.886473,penalty,-0.437567
377,[6.4707104],"[2.942641538445, -7.623224890192]",-688.710546,penalty,-0.437567
378,[6.5061544],"[2.973569602100, -7.640537555915]",-693.534619,penalty,-0.437567
379,[6.5415983],"[3.004497665755, -7.657850221638]",-698.358692,penalty,-0.437567
380,[6.5770423],"[3.035425729410, -7.675162887360]",-703.182764,penalty,-0.437567
381,[6.6124862],"[3.066353793065, -7.692475553083]",-708.006837,penalty,-0.437567
382,[6.6479302],"[3.097281856720, -7.709788218805]",-712.830910,penalty,-0.437567
383,[6.6833741],"[3.128209920375, -7.727100884528]",-717.654983,penalty,-0.437567
384,[6.7188181],"[3.159137984030, -7.744413550251]",-722.479056,penalty,-0.437567
385,[6.7542620],"[3.190066047685, -7.761726215973]",-727.303129,penalty,-0.437567
386,[6.7897060],"[3.220994111340, -7.779038881696]",-732.127202,penalty,-0.437567
387,[6.8251499],"[3.251922174995, -7.796351547418]",-736.951275,penalty,-0.437567
388,[6.8605939],"[3.282850238650, -7.813664213141]",-741.775348,penalty,-0.437567
389,[6.8960378],"[3.313778302305, -7.830976878864]",-746.599421,penalty,-0.437567
390,[6.9314818],"[3.344706365960, -7.848289544586]",-751.423494,penalty,-0.437567
391,[6.9669257],"[3.375634429615, -7.865602210309]",-756.247567,penalty,-0.437567
392,[7.0023697],"[3.406562493270, -7.882914876031]",-761.071640,penalty,-0.437567
393,[7.0378136],"[3.437490556925, -7.900227541754]",-765.895713,penalty,-0.437567
394,[7.0732576],"[3.468418620580, -7.917540207476]",-770.719786,penalty,-0.437567
395,[7.1087015],"[3.499346684235, -7.934852873199]",-775.543859,penalty,-0.437567
396,[7.1441455],"[3.530274747890, -7.952165538922]",-780.367931,penalty,-0.437567
397,[7.1795894],"[3.561202811545, -7.969478204644]",-785.192004,penalty,-0.437567
398,[7.2150334],"[3.592130875200, -7.986790870367]",-790.016077,penalty,-0.437567
399,[7.2504773],"[3.623058938855, -8.004103536089]",-794.840150,penalty,-0.437567
