,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-8.7708011],"[-7.527283840242, -3.430973956021]",-826.121638,penalty,-0.584443
1,[-8.7353572],"[-7.507344907824, -3.401670159510]",-821.197365,penalty,-0.584443
2,[-8.6999132],"[-7.487405975407, -3.372366363000]",-816.273092,penalty,-0.584443
3,[-8.6644693],"[-7.467467042990, -3.343062566489]",-811.348819,penalty,-0.584443
4,[-8.6290253],"[-7.447528110573, -3.313758769979]",-806.424546,penalty,-0.584443
5,[-8.5935814],"[-7.427589178155, -3.284454973468]",-801.500273,penalty,-0.584443
6,[-8.5581374],"[-7.407650245738, -3.255151176958]",-796.576000,penalty,-0.584443
7,[-8.5226935],"[-7.387711313321, -3.225847380447]",-791.651728,penalty,-0.584443
8,[-8.4872495],"[-7.367772380904, -3.196543583937]",-786.727455,penalty,-0.584443
9,[-8.4518056],"[-7.347833448487, -3.167239787426]",-781.803182,penalty,-0.584443
10,[-8.4163616],"[-7.327894516069, -3.137935990916]",-776.878909,penalty,-0.584443
11,[-8.3809177],"[-7.307955583652, -3.108632194405]",-771.954636,penalty,-0.584443
12,[-8.3454737],"[-7.288016651235, -3.079328397894]",-767.030363,penalty,-0.584443
13,[-8.3100298],"[-7.268077718818, -3.050024601384]",-762.106090,penalty,-0.584443
14,[-8.2745858],"[-7.248138786400, -3.020720804873]",-757.181817,penalty,-0.584443
15,[-8.2391419],"[-7.228199853983, -2.991417008363]",-752.257544,penalty,-0.584443
16,[-8.2036979],"[-7.208260921566, -2.962113211852]",-747.333272,penalty,-0.584443
17,[-8.1682540],"[-7.188321989149, -2.932809415342]",-742.408999,penalty,-0.584443
18,[-8.1328100],"[-7.168383056732, -2.903505618831]",-737.484726,penalty,-0.584443
19,[-8.0973661],"[-7.148444124314, -2.874201822321]",-732.560453,penalty,-0.584443
20,[-8.0619221],"[-7.128505191897, -2.844898025810]",-727.636180,penalty,-0.584443
21,[-8.0264782],"[-7.108566259480, -2.815594229300]",-722.711907,penalty,-0.584443
22,[-7.9910342],"[-7.088627327063, -2.786290432789]",-717.787634,penalty,-0.584443
23,[-7.9555903],"[-7.068688394645, -2.756986636278]",-712.863361,penalty,-0.584443
24,[-7.9201463],"[-7.048749462228, -2.727682839768]",-707.939088,penalty,-0.584443
25,[-7.8847024],"[-7.028810529811, -2.698379043257]",-703.014816,penalty,-0.584443
26,[-7.8492584],"[-7.008871597394, -2.669075246747]",-698.090543,penalty,-0.584443
27,[-7.8138145],"[-6.988932664977, -2.639771450236]",-693.166270,penalty,-0.584443
28,[-7.7783705],"[-6.968993732559, -2.610467653726]",-688.241997,penalty,-0.584443
29,[-7.7429266],"[-6.949054800142, -2.581163857215]",-683.317724,penalty,-0.584443
30,[-7.7074826],"[-6.929115867725, -2.551860060705]",-678.393451,penalty,-0.584443
31,[-7.6720387],"[-6.909176935308, -2.522556264194]",-673.469178,penalty,-0.584443
32,[-7.6365947],"[-6.889238002890, -2.493252467684]",-668.544905,penalty,-0.584443
33,[-7.6011508],"[-6.869299070473, -2.463948671173]",-663.620632,penalty,-0.584443
34,[-7.5657068],"[-6.849360138056, -2.434644874663]",-658.696359,penalty,-0.584443
35,[-7.5302629],"[-6.829421205639, -2.405341078152]",-653.772087,penalty,-0.584443
36,[-7.4948189],"[-6.809482273222, -2.376037281641]",-648.847814,penalty,-0.584443
37,[-7.4593750],"[-6.789543340804, -2.346733485131]",-643.923541,penalty,-0.584443
38,[-7.4239310],"[-6.769604408387, -2.317429688620]",-638.999268,penalty,-0.584443
39,[-7.3884871],"[-6.749665475970, -2.288125892110]",-634.074995,penalty,-0.584443
40,[-7.3530431],"[-6.729726543553, -2.258822095599]",-629.150722,penalty,-0.584443
41,[-7.3175992],"[-6.709787611135, -2.229518299089]",-624.226449,penalty,-0.584443
42,[-7.2821552],"[-6.689848678718, -2.200214502578]",-619.302176,penalty,-0.584443
43,[-7.2467113],"[-6.669909746301, -2.170910706068]",-614.377903,penalty,-0.584443
44,[-7.2112674],"[-6.649970813884, -2.141606909557]",-609.453631,penalty,-0.584443
45,[-7.1758234],"[-6.630031881467, -2.112303113047]",-604.529358,penalty,-0.584443
46,[-7.1403795],"[-6.610092949049, -2.082999316536]",-599.605085,penalty,-0.584443
47,[-7.1049355],"[-6.590154016632, -2.053695520025]",-594.680812,penalty,-0.584443
48,[-7.0694916],"[-6.570215084215, -2.024391723515]",-589.756539,penalty,-0.584443
49,[-7.0340476],"[-6.550276151798, -1.995087927004]",-584.832266,penalty,-0.584443
50,[-6.9986037],"[-6.530337219380, -1.965784130494]",-579.907993,penalty,-0.584443
51,[-6.9631597],"[-6.510398286963, -1.936480333983]",-574.983720,penalty,-0.584443
52,[-6.9277158],"[-6.490459354546, -1.907176537473]",-570.059447,penalty,-0.584443
53,[-6.8922718],"[-6.470520422129, -1.877872740962]",-565.135175,penalty,-0.584443
