,Point candidates in reduced space,Point candidates in original space,Total penalty,Penalized,EI value
0,[-2.8429901],"[-3.531984855488, -6.127582497774]",-112.758249,penalty,-0.301706
1,[-2.8075461],"[-3.514935205218, -6.096508667281]",-109.650866,penalty,-0.301706
2,[-2.7721022],"[-3.497885554947, -6.065434836788]",-106.543483,penalty,-0.301706
3,[-2.7366582],"[-3.480835904677, -6.034361006294]",-103.436099,penalty,-0.301706
4,[-2.7012143],"[-3.463786254406, -6.003287175801]",-100.328715,penalty,-0.301706
5,[-2.6657703],"[-3.446736604136, -5.972213345308]",-97.221331,penalty,-0.301706
6,[-2.6303264],"[-3.429686953865, -5.941139514815]",-94.113946,penalty,-0.301706
7,[-2.5948824],"[-3.412637303595, -5.910065684321]",-91.006560,penalty,-0.301706
8,[-2.5594385],"[-3.395587653324, -5.878991853828]",-87.899172,penalty,-0.301706
9,[-2.5239945],"[-3.378538003054, -5.847918023335]",-84.791782,penalty,-0.301706
10,[-2.4885506],"[-3.361488352783, -5.816844192842]",-81.684387,penalty,-0.301706
11,[-2.4531066],"[-3.344438702513, -5.785770362348]",-78.576985,penalty,-0.301706
12,[-2.4176627],"[-3.327389052242, -5.754696531855]",-75.469573,penalty,-0.301706
13,[-2.3822187],"[-3.310339401972, -5.723622701362]",-72.362145,penalty,-0.301706
14,[-2.3467748],"[-3.293289751701, -5.692548870869]",-69.254693,penalty,-0.301706
15,[-2.3113308],"[-3.276240101431, -5.661475040375]",-66.147202,penalty,-0.301706
16,[-2.2758869],"[-3.259190451160, -5.630401209882]",-63.039653,penalty,-0.301706
17,[-2.2404429],"[-3.242140800890, -5.599327379389]",-59.932014,penalty,-0.301706
18,[-2.2049990],"[-3.225091150619, -5.568253548895]",-56.824239,penalty,-0.301706
19,[-2.1695550],"[-3.208041500349, -5.537179718402]",-53.716256,penalty,-0.301706
20,[-2.1341111],"[-3.190991850078, -5.506105887909]",-50.607960,penalty,-0.301706
21,[-2.0986671],"[-3.173942199808, -5.475032057416]",-47.499195,penalty,-0.301706
